"","S1","S2","S3","S4","S5","S6","S8","S9"
"Fetub",49,26,120,82,42,11,19,32
"Fez1",0,4,0,4,2,1,0,5
"Fez2",1939,1232,1409,1268,998,877,977,995
"Ffar1",10,27,6,2,14,10,15,11
"Ffar2",3164,3013,1014,1908,1370,3002,2333,831
"Ffar3",23,7,4,6,8,26,12,3
"Ffar4",98,46,45,65,33,10,11,29
"Fga",4,6,1,2,2,0,0,0
"Fgd1",52,26,42,30,12,14,22,14
"Fgd2",2177,2226,1492,972,1344,979,1459,972
"Fgd3",4236,4547,2092,3253,2534,3691,3307,1473
"Fgd4",1846,2034,1160,1192,1311,1674,1811,973
"Fgd5",76,60,121,87,45,15,68,32
"Fgd6",677,529,594,557,529,685,692,451
"Fgf1",70,95,250,119,38,55,126,37
"Fgf10",3,3,1,2,0,6,3,6
"Fgf11",65,70,68,46,33,42,46,34
"Fgf13",98,33,46,30,34,38,16,24
"Fgf16",0,4,0,0,8,2,0,0
"Fgf18",18,22,30,15,7,3,10,11
"Fgf2",204,192,200,194,120,59,124,80
"Fgf21",2,0,2,1,5,0,6,0
"Fgf22",48,20,18,27,16,22,20,4
"Fgf7",10,13,39,12,16,1,19,16
"Fgf9",14,3,11,12,4,5,16,6
"Fgfbp3",25,27,18,27,18,14,25,26
"Fgfr1",2501,1593,1912,1610,1550,2152,4574,1214
"Fgfr1op",537,488,261,288,266,386,416,126
"Fgfr1op2",4936,3708,2680,2594,2240,3413,2955,2390
"Fgfr2",34,35,54,64,55,44,50,22
"Fgfr3",36,31,26,38,22,50,14,20
"Fgfr3-ps",30,24,26,26,26,17,27,8
"Fgfr4",38,13,56,9,13,16,15,0
"Fgfrl1",97,49,80,90,46,40,60,18
"Fggy",339,222,168,148,117,148,145,100
"Fgl1",3,0,12,2,6,0,0,12
"Fgl2",10156,13087,5086,7021,10773,5833,7867,5676
"Fgr",18147,13464,6988,10488,7514,13190,9636,5448
"Fh1",3800,2620,2604,1646,1841,1378,1828,1618
"Fhad1",45,49,43,50,13,26,28,14
"Fhdc1",59,45,46,47,29,21,37,15
"Fhit",0,3,4,3,3,0,2,0
"Fhl1",62,7,73,56,18,20,18,23
"Fhl2",148,124,132,166,117,95,136,51
"Fhl3",1474,1098,748,1058,484,1125,986,552
"Fhl4",2,0,0,2,0,2,6,0
"Fhod1",2516,2334,1310,1856,1512,1802,1858,548
"Fhod3",4,5,15,27,6,6,4,13
"Fibin",3,4,26,11,4,1,7,8
"Fibp",1502,1028,868,806,623,794,872,377
"Ficd",440,237,270,213,219,176,170,163
"Fig4",1338,1157,956,723,756,680,793,564
"Fign",7,10,8,0,5,1,5,1
"Fignl1",271,412,272,192,183,195,293,155
"Fignl2",47,44,59,25,47,42,61,24
"Filip1",1,12,13,10,13,26,23,7
"Filip1l",2932,2077,1500,1684,1476,1486,1484,1064
"Fip1l1",3557,2836,2144,2242,2010,2906,1970,1632
"Firre",170,108,100,93,77,186,228,36
"Fis1",4916,3016,2354,2611,2087,2187,2742,1273
"Fitm1",1,0,3,0,0,0,0,3
"Fitm2",176,130,106,128,86,86,75,43
"Fiz1",1236,906,750,777,672,761,656,555
"Fjx1",33,27,17,13,8,4,12,6
"Fkbp10",380,276,444,514,183,38,230,169
"Fkbp11",78,63,104,110,49,31,88,29
"Fkbp14",76,106,112,86,44,35,79,44
"Fkbp15",3369,3238,3066,2380,2556,2176,2423,1543
"Fkbp1a",12454,6854,6451,7028,4146,6044,5778,4762
"Fkbp1a-ps1",0,1,3,2,1,1,0,5
"Fkbp1b",408,309,294,249,208,287,253,230
"Fkbp2",2588,2015,1590,1433,1036,1245,1356,1099
"Fkbp3",1819,1417,990,788,637,1240,1072,735
"Fkbp4",4838,3632,3366,2804,2144,2065,2119,1594
"Fkbp5",4472,4054,3335,2277,2734,1822,2234,2667
"Fkbp7",159,122,210,128,92,45,133,88
"Fkbp8",7254,4906,4392,4912,3261,3235,4382,1976
"Fkbp9",588,487,860,671,378,260,557,333
"Fkbpl",190,197,149,181,132,134,156,74
"Fkrp",1405,916,943,763,684,618,619,483
"Fktn",347,212,273,252,178,222,222,148
"Flacc1",118,104,82,70,63,90,85,53
"Flad1",978,812,604,634,564,485,529,350
"Flcn",1778,1473,1235,1226,1033,1151,1148,692
"Fli1",4390,4190,2547,2548,2672,3990,3536,3180
"Flicr",10,38,5,21,9,14,19,10
"Flii",7310,5653,4874,5296,4562,4280,4364,2818
"Flna",27419,19386,19434,20482,17373,13514,17060,7528
"Flnb",1373,973,1514,1372,1438,617,862,352
"Flnc",64,92,117,188,81,4,92,36
"Flot1",6868,4021,3127,4164,2656,3151,4420,1676
"Flot2",2730,1999,1750,1778,1748,1459,1696,1309
"Flrt1",0,0,4,1,7,5,1,0
"Flrt2",255,81,238,526,119,134,158,88
"Flrt3",1273,398,590,749,288,507,362,301
"Flt1",560,410,309,340,513,122,280,199
"Flt3",1405,810,869,922,122,39,107,132
"Flt3l",302,306,184,210,198,228,438,172
"Flt4",63,46,59,52,42,27,32,15
"Flvcr1",1404,1110,741,722,883,880,886,702
"Flvcr2",10,0,1,6,3,2,1,0
"Flywch1",421,322,342,300,310,215,270,166
"Flywch2",22,14,21,19,17,17,13,19
"Fmc1",317,220,143,178,109,144,174,99
"Fmn1",545,410,412,462,394,316,382,222
"Fmnl1",14908,9966,7651,10791,7809,7112,7793,4573
"Fmnl2",1495,1385,864,1506,1245,1366,1405,968
"Fmnl3",3561,3391,1736,3058,1711,2914,2066,1166
"Fmo1",19,0,14,2,15,4,1,8
"Fmo2",8,16,16,8,4,6,7,18
"Fmo4",2,5,3,0,0,4,6,8
"Fmo5",659,460,381,366,443,692,772,362
"Fmod",64,37,107,87,40,3,36,10
"Fmr1",1246,1110,686,766,864,1401,1094,836
"Fmr1nb",0,4,7,0,0,31,7,0
"Fn1",137642,71985,89464,117571,48513,60071,69919,41092
"Fn3k",1,0,7,3,1,19,0,4
"Fn3krp",286,264,190,126,110,160,149,148
"Fnbp1",10544,8128,6902,6540,6438,7107,6500,4165
"Fnbp1l",1000,869,772,641,534,584,560,365
"Fnbp4",2624,2425,1169,1469,1290,2527,2940,989
"Fndc1",187,99,479,396,196,45,173,146
"Fndc10",64,17,37,24,18,19,25,19
"Fndc3a",4719,3702,3132,3035,2936,3262,3216,2293
"Fndc3b",3072,2206,2290,2476,2113,2084,2145,1440
"Fndc3c1",5,10,5,12,2,6,13,2
"Fndc4",43,31,21,24,11,23,37,22
"Fndc5",264,87,74,51,32,74,115,46
"Fndc7",42,44,25,23,35,29,61,23
"Fndc8",8,6,0,2,0,4,0,0
"Fndc9",24,20,12,8,20,55,26,8
"Fnip1",1575,1647,1023,984,1454,1941,2060,734
"Fnip2",1325,1668,1208,1434,1365,1261,1068,795
"Fnta",1502,920,1084,846,697,779,873,653
"Fntb",458,422,378,328,274,256,378,206
"Focad",432,396,340,290,292,345,318,270
"Folr1",2,0,4,28,2,0,8,0
"Folr2",1658,1009,2626,1502,636,1389,1494,1834
"Fopnl",1646,1158,734,851,558,845,1036,548
"Fos",106725,89312,56895,71011,72497,61367,69197,40994
"Fosb",40769,31417,20262,28880,30381,42179,46998,14721
"Fosl1",180,102,90,178,174,238,332,92
"Fosl2",26625,18380,10964,18606,19393,29840,29908,9802
"Foxa1",7,0,6,3,6,2,6,0
"Foxa2",59,51,75,65,77,17,45,44
"Foxa3",16,5,19,9,3,5,6,4
"Foxc1",32,1,13,6,3,3,4,13
"Foxc2",4,0,0,0,0,5,2,2
"Foxd2",24,24,22,17,16,24,23,11
"Foxd2os",82,68,60,28,36,21,44,36
"Foxd4",45,44,8,30,23,31,32,35
"Foxf1",17,5,21,24,6,17,10,12
"Foxf2",40,27,35,42,35,11,18,9
"Foxg1",44,30,24,38,26,10,22,24
"Foxj1",26,8,19,16,36,14,15,31
"Foxj2",1989,1780,1294,1404,1519,1550,1211,954
"Foxj3",1360,1050,791,810,816,1042,912,496
"Foxk1",1733,1458,1274,1175,1354,1077,1046,714
"Foxk2",2595,1981,1422,1474,1321,1106,1154,894
"Foxm1",405,304,372,332,256,288,303,356
"Foxn2",2682,1884,1385,1668,1520,1499,1546,946
"Foxn3",3414,2903,1986,1950,1896,1880,2096,1534
"Foxo1",1159,845,661,641,599,476,466,544
"Foxo3",3723,3388,2253,2671,2606,3027,3310,1691
"Foxo4",837,656,595,559,625,731,682,411
"Foxo6",2,0,3,6,5,0,7,0
"Foxp1",2838,2630,1864,1654,1766,2598,2458,1461
"Foxp2",4,2,5,0,5,0,5,0
"Foxp3",461,368,240,290,326,205,291,331
"Foxp4",1585,864,998,1099,845,462,770,575
"Foxq1",57,42,80,52,65,27,52,12
"Foxr1",16,11,2,13,6,19,7,1
"Foxred1",1017,782,628,487,557,511,612,317
"Foxred2",404,430,334,187,346,175,218,265
"Foxs1",29,2,12,32,5,6,15,6
"Fpgs",373,244,206,199,132,152,179,72
"Fpgt",337,258,278,196,260,235,216,164
"Fpr1",684,810,428,972,572,1286,939,658
"Fpr2",2583,2225,731,1846,1864,4058,2549,1533
"Fpr3",8,6,3,10,10,16,16,6
"Fra10ac1",436,339,260,203,193,287,282,153
"Fras1",3,0,6,8,2,0,1,0
"Frat1",172,170,83,95,97,159,94,87
"Frat2",150,133,81,112,112,130,86,73
"Frem1",6,8,34,6,7,4,14,6
"Frg1",3817,3467,1975,2015,1598,3384,2683,1566
"Frg2f1",34,45,29,44,38,54,52,30
"Frk",64,69,84,72,45,6,45,48
"Frmd4a",2290,2282,1706,1514,1537,712,1062,899
"Frmd4b",2993,3328,3468,2011,2934,1997,2234,2426
"Frmd5",2,6,7,18,2,0,14,1
"Frmd6",464,327,276,293,208,244,292,142
"Frmd7",5,4,0,1,1,10,16,5
"Frmd8",2517,1492,1634,1567,1406,1152,1233,800
"Frmd8os",236,109,82,117,80,119,86,54
"Frmpd1",6,0,0,1,5,0,0,0
"Frrs1",3498,2582,1858,2113,1780,2832,2401,1511
"Frs2",932,740,604,622,594,720,739,471
"Frs3",12,19,31,12,18,22,26,5
"Fry",532,526,403,330,484,524,683,223
"Fryl",1694,1538,1153,1008,1342,1176,1276,704
"Frzb",15,30,1,14,7,0,8,4
"Fsbp",35,28,22,15,15,21,15,10
"Fscn1",10368,3446,6410,7706,633,288,1229,716
"Fscn2",12,0,6,16,7,9,15,2
"Fscn3",0,0,1,2,4,0,12,0
"Fsd1l",56,14,33,28,26,59,42,25
"Fsd2",20,27,3,3,7,4,10,3
"Fsip1",3,9,5,15,3,5,10,2
"Fst",79,48,54,122,61,28,80,19
"Fstl1",1341,1113,2808,1648,1053,282,1673,587
"Fstl3",46,36,59,61,26,22,52,50
"Fth-ps2",52,18,6,16,24,32,56,2
"Fth-ps3",6,4,2,6,4,6,3,2
"Fth1",272288,204064,127831,213945,127278,168000,150500,101796
"Ftl1",82746,52340,53941,70313,38836,34849,40376,24977
"Ftl1-ps1",14667,9172,9388,12102,6747,6337,7277,4715
"Ftl1-ps2",83,30,59,62,37,28,28,24
"Ftl2-ps",10158,6178,6269,8437,4788,4498,5019,3474
"Fto",2538,1731,1612,1460,1300,1436,1298,918
"Ftsj1",584,350,336,268,264,222,236,256
"Ftsj3",2686,1922,1512,1391,1172,1103,1236,947
"Ftx",168,116,66,88,72,126,125,62
"Fubp1",5286,3082,2611,2523,1993,2895,2426,1573
"Fubp3",1064,757,776,672,718,632,636,569
"Fuca1",5441,3854,3332,3199,2832,2732,2909,1848
"Fuca2",7384,6097,3894,3989,3994,4746,4169,3218
"Fundc1",2284,1870,1511,1182,1197,1361,1275,1246
"Fundc2",1927,1716,1413,1206,898,1125,1149,840
"Fuom",227,126,174,113,105,145,156,116
"Furin",14982,10666,8035,10448,8562,9306,11423,5296
"Fus",15658,12167,6676,9194,5444,10262,9664,4142
"Fut1",8,0,3,3,14,0,0,0
"Fut10",56,36,113,50,20,23,56,36
"Fut11",955,734,698,527,569,365,481,461
"Fut2",57,57,34,59,37,33,34,13
"Fut4",1595,910,731,735,587,440,535,338
"Fut7",53,49,28,28,26,37,32,27
"Fut8",2431,1846,1800,1380,1379,1803,2111,1377
"Fuz",794,431,393,391,292,349,426,318
"Fv1",84,76,39,28,52,40,46,22
"Fxn",259,172,118,105,66,74,130,79
"Fxr1",4022,3331,2706,2464,2616,2850,2555,2028
"Fxr2",2890,2346,1803,2011,1602,1856,1892,932
"Fxyd1",29,30,36,16,18,19,25,46
"Fxyd2",99,46,141,57,61,305,125,130
"Fxyd3",168,70,124,79,56,21,90,46
"Fxyd4",35,20,11,2,12,23,13,6
"Fxyd5",49514,37504,22671,28810,20944,31286,25247,21081
"Fxyd6",133,111,214,137,43,15,92,69
"Fxyd7",40,4,7,28,9,24,17,2
"Fyb",5807,8233,5018,4229,6120,6276,7082,3527
"Fyb2",0,0,3,6,1,4,0,0
"Fyco1",543,601,455,405,467,480,485,264
"Fyn",3187,1829,1719,1294,973,715,863,934
"Fyttd1",2006,1247,1116,1166,798,954,1004,670
"Fzd1",326,328,439,402,279,123,221,106
"Fzd2",66,47,93,111,34,16,44,28
"Fzd3",19,13,31,31,7,8,15,3
"Fzd4",214,151,174,156,92,84,125,57
"Fzd5",298,229,202,206,231,202,167,106
"Fzd6",57,15,48,54,67,0,40,21
"Fzd7",1178,734,655,684,672,809,595,491
"Fzd8",7,6,11,20,3,7,9,13
"Fzd9",0,5,4,1,3,0,0,0
"Fzr1",1807,1280,1013,1148,849,981,1073,562
"G0s2",29619,25732,9053,24046,11936,38850,25025,10278
"G2e3",419,303,228,258,216,354,294,172
"G3bp1",8227,4940,4246,4350,3103,3394,3618,2493
"G3bp2",5522,4031,3494,2872,3220,3297,3193,2553
"G430095P16Rik",76,48,40,46,64,46,64,22
"G530011O06Rik",1408,1137,902,1101,588,679,1000,500
"G530012D18Rik",341,311,176,165,151,148,204,125
"G630030J09Rik",52,34,16,18,18,48,62,22
"G6pc2",0,24,0,4,2,0,1,0
"G6pc3",1087,722,675,628,474,498,513,468
"G6pd2",22,22,18,16,24,6,14,8
"G6pdx",5164,4178,3776,3401,3867,3239,3316,3145
"G730003C15Rik",11,14,7,4,4,4,2,3
"G730013B05Rik",0,0,0,0,6,0,0,1
"G930009F23Rik",9,6,22,13,5,0,13,1
"Gaa",3056,1935,2411,2132,1782,1383,1431,1136
"Gab1",2050,1423,1396,1526,1160,789,1221,802
"Gab2",4688,5022,3145,3778,3882,3923,3315,1858
"Gab3",381,391,315,217,241,321,331,281
"Gabarap",36878,24526,18026,20725,14081,20790,18687,15650
"Gabarapl1",2162,1381,1530,1454,1104,1039,1146,834
"Gabarapl2",2179,1378,1080,1234,819,975,1000,553
"Gabbr1",871,479,296,614,396,922,1516,276
"Gabbr2",97,43,59,52,15,24,15,10
"Gabpa",2242,1753,1365,1230,1402,1619,1414,1064
"Gabpb1",1857,1413,858,1063,768,1888,1660,838
"Gabpb2",2318,2103,1410,1497,1468,1594,1865,798
"Gabra3",20,21,74,48,21,17,42,26
"Gabra4",8,0,0,0,1,0,1,3
"Gabrb1",0,14,0,2,5,2,14,7
"Gabrb3",0,7,3,6,2,12,0,7
"Gabrd",0,1,0,0,0,0,15,0
"Gabre",5,3,15,5,5,0,6,0
"Gabrp",147,54,43,60,72,42,55,78
"Gabrr2",2,1,2,1,2,6,1,0
"Gad1",18,28,8,20,16,38,24,18
"Gad1-ps",422,544,161,372,334,558,444,123
"Gad2",0,0,4,0,5,0,5,0
"Gadd45a",2271,1806,998,1646,1536,3212,2866,1058
"Gadd45b",12309,10323,3617,9177,5115,12161,7754,3275
"Gadd45g",1418,1192,870,1160,816,864,1328,451
"Gadd45gip1",1590,957,762,870,520,618,654,504
"Gadl1",1447,1062,884,831,688,609,772,672
"Gak",5341,4218,3368,3328,3190,2916,2925,1876
"Gal",12,7,11,7,3,12,13,13
"Gal3st1",18,15,24,12,13,12,18,7
"Gal3st2",26,12,10,10,1,4,4,2
"Gal3st2b",16,10,9,10,2,6,0,2
"Gal3st2c",6,5,5,6,4,6,1,3
"Gal3st3",4,0,2,0,1,0,4,0
"Gal3st4",114,92,66,56,44,80,52,51
"Galc",1766,1308,1735,956,1036,1236,1254,1012
"Gale",749,385,339,476,272,318,336,170
"Galk1",897,494,524,706,368,360,484,220
"Galk2",2002,1392,1346,1118,1075,1056,1026,858
"Galm",1262,684,688,640,536,781,532,566
"Galns",2014,1599,1441,1497,1160,948,1169,852
"Galnt1",6234,5348,4784,3781,4319,3806,3939,3609
"Galnt10",1232,1190,1107,767,1304,571,822,564
"Galnt11",1009,757,565,657,510,424,518,308
"Galnt12",487,212,261,227,124,153,109,115
"Galnt15",9,5,31,13,12,3,5,0
"Galnt16",48,19,64,26,35,22,31,24
"Galnt17",2,0,7,4,1,3,2,7
"Galnt18",20,0,14,8,3,3,3,11
"Galnt2",1753,1398,1482,1276,1251,787,934,846
"Galnt3",584,366,344,343,414,339,353,242
"Galnt4",956,574,601,515,502,597,516,402
"Galnt6",2760,1883,1596,2146,1884,1866,2743,860
"Galnt6os",131,89,94,123,102,70,199,30
"Galnt7",1368,1254,998,923,1238,1142,1036,914
"Galnt9",261,169,102,101,102,46,80,60
"Galr2",19,8,1,4,4,1,9,0
"Galt",798,542,364,350,324,412,413,373
"Gamt",448,274,319,255,253,211,250,215
"Gan",693,467,391,372,382,402,466,207
"Ganab",8724,5743,5781,5221,4271,3900,4146,3153
"Ganc",612,464,372,286,482,426,407,386
"Gap43",5,0,16,10,6,6,9,1
"Gapdh",52920,28085,24209,35929,23103,24250,22088,18303
"Gapdh-ps14",23,12,10,9,11,8,7,5
"Gapdhs",20,4,10,6,9,14,11,6
"Gapt",5726,4197,3376,3048,3108,4854,4794,2948
"Gapvd1",4102,2914,2605,2299,2263,2499,2687,1580
"Gar1",1058,735,522,595,298,525,452,270
"Garem1",22,6,9,17,14,7,9,2
"Garem2",10,6,22,16,8,10,18,11
"Garnl3",19,30,23,39,10,25,31,29
"Gars",5299,3577,3162,3053,2137,2322,2421,1796
"Gart",2198,1640,1470,1346,1090,884,1206,817
"Gas1",86,149,215,178,46,12,116,61
"Gas2",146,106,106,131,64,118,118,33
"Gas2l1",1288,778,877,1021,652,582,669,454
"Gas2l3",448,457,366,349,420,380,352,308
"Gas5",4595,3779,2211,2222,2016,3038,3534,1717
"Gas6",2948,2066,5926,3632,1672,4098,3116,4180
"Gas7",10400,8080,8506,6426,6874,6916,7445,5750
"Gas8",517,377,357,316,266,244,325,217
"Gask1a",3,1,9,2,1,2,2,0
"Gask1b",296,153,298,207,91,125,212,116
"Gata1",446,352,258,278,305,311,528,117
"Gata2",70,60,33,57,86,83,168,40
"Gata3",44,39,18,41,83,8,54,27
"Gata4",50,68,93,68,49,7,40,32
"Gata5",72,42,66,54,32,8,42,37
"Gata5os",4,0,2,1,1,0,0,2
"Gata6",83,50,90,108,47,54,37,66
"Gatad1",3014,1890,1671,1645,1258,1485,1410,1460
"Gatad2a",5012,3558,2736,3196,2626,3093,2893,1954
"Gatad2b",3724,3046,1964,2156,2279,3084,2466,1881
"Gatb",485,493,399,298,221,276,237,224
"Gatc",894,765,650,408,478,455,435,614
"Gatd1",1406,956,840,700,739,776,712,550
"Gatd3a",1268,858,783,734,605,621,673,413
"Gatm",6220,5488,3992,3499,4668,4534,4636,5420
"Gba",6265,4152,3647,3840,2755,2679,2755,2125
"Gba2",1042,789,605,726,679,746,665,370
"Gbe1",658,546,435,558,499,617,390,315
"Gbf1",2305,1475,1479,1328,1360,1453,1386,800
"Gbgt1",74,146,123,80,259,84,94,125
"Gbp10",119,290,119,68,558,53,225,228
"Gbp11",70,71,20,14,144,17,95,59
"Gbp2",4208,10492,3108,2352,15944,2262,9918,8756
"Gbp2b",114,320,36,18,1440,62,243,440
"Gbp3",1980,2966,1464,960,3388,1000,1886,1906
"Gbp4",751,1507,423,290,2453,348,1370,1108
"Gbp5",1500,2250,1126,960,3054,427,1551,1349
"Gbp6",395,853,378,202,1462,179,712,777
"Gbp7",3966,4428,2569,1885,4984,2895,3204,4195
"Gbp8",1045,1474,505,401,2077,666,1353,952
"Gbp9",2286,2644,1281,1058,2543,1098,2320,1266
"Gbx2",16,20,18,17,8,0,14,9
"Gc",73,60,94,101,18,20,71,16
"Gca",426,365,198,250,300,620,404,322
"Gcat",275,149,172,179,127,54,144,82
"Gcc1",792,664,420,509,536,646,526,303
"Gcc2",875,881,587,554,586,754,639,412
"Gcdh",693,514,413,350,314,503,506,263
"Gcfc2",194,153,129,99,86,136,141,106
"Gcg",1563,30,50,4,9,12,32,8
"Gch1",1410,826,584,1002,447,530,679,241
"Gchfr",15,22,13,16,7,7,35,11
"Gck",7,0,7,7,4,7,5,2
"Gclc",1221,862,769,935,652,943,660,563
"Gclm",1398,1015,1018,1387,788,837,871,729
"Gcn1",1126,933,829,903,859,651,736,361
"Gcnt1",5859,5818,2638,4229,3026,5122,4603,1952
"Gcnt2",9259,8392,3340,6317,4046,7199,5078,2512
"Gcnt3",45,25,68,66,31,3,56,10
"Gcnt4",10,8,9,31,10,11,10,8
"Gcnt7",49,6,13,14,18,17,47,6
"Gcsam",84,27,44,19,22,22,7,9
"Gcsh",2254,1206,985,1139,695,746,931,636
"Gda",29798,19951,17134,16356,14967,17308,17545,11996
"Gdap1l1",4,5,1,2,0,9,6,0
"Gdap2",1508,1106,875,796,841,1158,934,882
"Gde1",2320,1498,1108,1618,1350,1341,1482,806
"Gdf1",35,19,13,22,20,6,16,9
"Gdf10",14,41,93,21,12,1,15,3
"Gdf11",49,32,60,37,24,8,42,10
"Gdf15",181,104,130,266,199,310,295,159
"Gdf3",635,803,488,549,234,258,168,191
"Gdf6",26,44,45,49,40,2,60,17
"Gdf9",56,47,41,13,20,28,23,18
"Gdi1",3480,2622,1484,2074,1374,3475,3642,906
"Gdi2",54563,35407,30874,25602,23510,23960,22859,22332
"Gdnf",13,3,2,14,6,0,2,3
"Gdpd1",273,259,567,238,297,350,370,474
"Gdpd2",12,14,12,3,10,2,6,11
"Gdpd3",173,128,83,79,68,143,146,71
"Gdpd5",205,194,232,191,105,171,158,142
"Gdpgp1",158,99,76,74,57,40,52,73
"Gem",272,144,140,222,204,332,359,153
"Gemin2",534,351,247,246,170,254,259,160
"Gemin4",151,62,92,84,54,27,50,41
"Gemin5",701,597,494,515,490,280,300,229
"Gemin6",250,191,153,157,94,112,116,96
"Gemin6-ps",6,6,5,8,5,1,3,3
"Gemin7",1708,892,752,852,528,689,779,422
"Gemin8",138,72,85,99,56,70,64,46
"Gen1",150,192,150,97,112,100,72,95
"Get4",1182,848,704,798,520,613,701,339
"Gfap",0,4,0,0,3,1,5,0
"Gfer",1124,720,629,588,462,392,370,317
"Gfi1",83,48,32,27,39,22,49,15
"Gfi1b",349,231,106,215,139,331,339,173
"Gfm1",1960,1440,1268,1136,1030,975,945,758
"Gfm2",5923,5230,3378,3118,2615,4038,3192,2206
"Gfod1",1520,1199,702,1164,1101,1934,2341,557
"Gfod2",117,84,46,46,38,28,45,18
"Gfpt1",3329,2048,2137,1826,1873,1653,1716,1060
"Gfpt2",181,78,227,226,64,63,135,70
"Gfra1",20,9,38,18,2,0,3,3
"Gfra2",384,157,344,91,64,91,154,148
"Gfra3",4,6,3,0,10,0,5,0
"Gfra4",54,27,56,44,12,75,41,63
"Gga1",3772,2812,2316,2653,2076,2266,2196,1430
"Gga2",1335,921,1061,948,750,662,688,486
"Gga3",2087,1516,1154,1147,1029,1215,1476,728
"Ggact",66,102,100,64,40,65,70,57
"Ggct",362,364,178,265,275,278,260,201
"Ggcx",560,376,379,353,244,302,303,218
"Ggh",3817,2694,2080,1976,1876,2599,2769,1742
"Ggn",85,56,63,54,37,45,49,34
"Ggnbp1",770,532,450,463,483,326,441,315
"Ggnbp2",3823,3377,2220,2322,1898,2720,2979,1626
"Ggps1",1288,867,656,650,478,719,661,515
"Ggt1",29,32,24,7,27,32,42,32
"Ggt5",1521,1446,666,812,695,1529,1024,498
"Ggt6",7,0,0,2,4,0,1,4
"Ggt7",32,5,12,4,15,15,14,5
"Ggta1",6750,4228,3887,3890,2760,2513,2512,2122
"Ghdc",462,366,342,374,248,293,259,205
"Ghitm",7492,5111,4274,4252,3683,3563,3959,2740
"Ghr",61,81,126,71,49,23,55,34
"Ghrl",24,18,6,3,8,25,19,0
"Gid4",854,643,577,593,622,485,409,376
"Gid8",2629,1794,1526,1311,1060,1424,1270,975
"Gigyf1",1215,1270,880,943,929,1366,1242,432
"Gigyf2",2143,2219,1382,1406,1417,1922,2076,1071
"Gimap1",132,110,54,81,100,65,64,74
"Gimap1os",34,36,20,22,30,15,22,15
"Gimap3",84,109,68,118,306,25,104,131
"Gimap4",134,317,185,224,520,90,148,318
"Gimap5",122,82,36,68,53,40,42,44
"Gimap6",308,309,187,261,464,251,329,246
"Gimap7",8,31,29,31,99,9,20,70
"Gimap8",41,61,48,50,153,47,64,58
"Gimap9",174,175,67,187,135,177,151,94
"Gimd1",27,53,36,44,19,5,65,9
"Gin1",245,179,104,132,120,213,175,76
"Ginm1",1650,1206,1056,1020,762,1198,1004,874
"Gins1",254,295,247,214,96,193,167,182
"Gins2",1208,960,740,845,658,954,939,541
"Gins3",294,191,96,105,94,94,94,84
"Gins4",1360,1141,927,666,569,670,750,607
"Gipc1",2308,1269,1369,1350,893,840,1056,713
"Gipc2",121,70,128,116,96,21,86,39
"Gipc3",9,0,4,7,8,2,4,4
"Gipr",6,0,2,4,10,15,18,1
"Git1",2549,1708,1610,1865,1384,1327,1432,1039
"Git2",5453,4598,3275,3355,3246,4363,3869,2417
"Gja1",1575,631,1420,1443,418,681,1392,721
"Gja4",21,4,15,15,3,6,14,12
"Gja5",164,109,42,138,85,233,93,42
"Gja6",5,13,0,1,1,6,4,11
"Gjb1",34,12,17,17,14,0,14,9
"Gjb2",15,9,22,9,14,14,7,0
"Gjb3",79,83,102,132,133,16,83,29
"Gjb4",55,42,86,150,61,7,53,28
"Gjb5",33,19,60,32,18,3,21,12
"Gjc1",19,32,38,34,3,3,10,9
"Gjc2",0,0,10,3,3,0,0,0
"Gk",1260,750,585,870,561,557,864,297
"Gk5",100,54,49,76,69,88,80,37
"Gkap1",179,108,119,117,91,132,130,88
"Gkn1",21,0,142,13,1,0,22,0
"Gkn2",0,8,198,26,0,0,7,0
"Gkn3",8,29,23,55,4,9,8,151
"Gla",2766,2509,1864,2753,2052,2827,3089,1348
"Glb1",2728,1851,2136,1887,1562,1588,1531,1404
"Glb1l",354,275,259,227,225,234,288,152
"Glb1l2",30,1,10,3,1,0,0,0
"Glcci1",175,220,140,116,138,138,149,100
"Glce",580,388,438,329,244,286,313,196
"Gldc",227,117,192,258,225,15,155,74
"Gle1",1482,1040,801,719,680,797,806,456
"Glg1",6444,5137,4686,4535,4911,4250,3859,3242
"Gli1",76,42,54,42,26,40,40,12
"Gli2",9,8,14,8,8,0,10,6
"Gli3",47,25,33,61,8,14,31,17
"Glipr1",2454,1990,1458,1467,1530,2608,1914,1478
"Glipr2",10530,6390,4428,6391,3078,5219,5466,2175
"Glis1",2,12,8,4,4,0,1,0
"Glis2",128,152,181,151,198,64,130,85
"Glis3",273,149,244,218,184,114,184,107
"Glmn",165,154,106,60,80,92,89,78
"Glmp",5964,4144,4333,3885,3382,2916,3104,3059
"Glns-ps1",340,273,332,201,211,266,252,304
"Glo1",1324,953,992,740,596,549,669,507
"Glod4",2649,1816,1602,1434,1153,1175,1253,1051
"Glod5",22,13,0,5,13,0,6,3
"Glp1r",0,2,5,1,0,1,0,10
"Glp2r",60,36,61,30,60,36,44,18
"Glrp1",112,48,42,47,26,19,32,10
"Glrx",4500,2986,2032,3289,2385,2420,2460,2256
"Glrx2",1501,1002,652,571,499,648,642,536
"Glrx3",3730,2750,2221,1892,1596,1657,1966,1318
